target,family,variant,seed,candidate,rpn,candidate_source,candidate_tag,candidate_depth,candidate_nodes,is_eml_tree,train_mse,holdout_mse,complex_mse,exact_recovery,candidate_evals,gate6_rejections,gate6_rejection_reasons,mutation_events,preservation_rate_after_commit,belnap_status_before_commit,runtime_sec
one_const,unary,nda_full,0,1,1,terminal 1,constructive,0,1,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.0005884170532226562
identity_x,unary,nda_full,0,x,x,terminal x,constructive,0,1,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.0004527568817138672
e_const,unary,nda_full,0,"eml(1,1)",11E,exp(1),constructive,1,3,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.0006840229034423828
zero_const,unary,nda_full,0,"eml(1,eml(eml(1,1),1))",111E1EE,log(1),constructive,3,7,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.0008709430694580078
exp_x,unary,nda_full,0,"eml(x,1)",x1E,"eml(x,1)",constructive,1,3,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.0007388591766357422
ln_x,unary,nda_full,0,"eml(1,eml(eml(1,x),1))",11xE1EE,eml logarithm identity,constructive,3,7,True,5.4247026766907145e-33,1.556593733589101e-32,2.2750067059646738e-32,True,1,0,[],0,1.0,T,0.0010187625885009766
neg_x,unary,nda_full,0,"eml(eml(1,eml(eml(1,eml(1,eml(eml(1,1),1))),1)),eml(x,1))",11111E1EEE1EEx1EE,0 - x,constructive,7,17,True,5.135813185032629e-34,7.703719777548943e-34,9.073252980861466e-33,True,1,0,[],0,1.0,T,0.0014200210571289062
x_square,unary,nda_full,0,"eml(eml(eml(1,eml(eml(1,eml(1,eml(eml(1,x),1))),1)),eml(eml(eml(1,eml(eml(1,eml(1,eml(eml(1,1),1))),1)),eml(eml(1,eml(eml(1,x),1)),1)),1)),1)",1111xE1EEE1EE11111E1EEE1EE11xE1EE1EE1EE1E,x*x,constructive,10,41,True,1.4664314861325368e-31,7.823328322772568e-31,2.0290982248489248e-31,True,1,0,[],0,1.0,T,0.002565622329711914
identity_y,binary,nda_full,0,y,y,terminal y,constructive,0,1,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.0016872882843017578
x_minus_y,binary,nda_full,0,"eml(eml(1,eml(eml(1,x),1)),eml(y,1))",11xE1EEy1EE,"eml(log(x), exp(y))",constructive,4,11,True,2.311115933264683e-32,4.4874167704222595e-32,4.350194261884669e-32,True,1,0,[],0,1.0,T,0.0020318031311035156
x_plus_y,binary,nda_full,0,"eml(eml(1,eml(eml(1,x),1)),eml(eml(eml(1,eml(eml(1,eml(1,eml(eml(1,1),1))),1)),eml(y,1)),1))",11xE1EE11111E1EEE1EEy1EE1EE,x - (0 - y),constructive,9,27,True,7.395570986446986e-32,6.753594338317907e-32,7.213836425158257e-32,True,1,0,[],0,1.0,T,0.0024862289428710938
x_times_y,binary,nda_full,0,"eml(eml(eml(1,eml(eml(1,eml(1,eml(eml(1,x),1))),1)),eml(eml(eml(1,eml(eml(1,eml(1,eml(eml(1,1),1))),1)),eml(eml(1,eml(eml(1,y),1)),1)),1)),1)",1111xE1EEE1EE11111E1EEE1EE11yE1EE1EE1EE1E,exp(log(x)+log(y)),constructive,10,41,True,2.0851722659355762e-31,3.949807852738919e-31,2.1645639791197305e-31,True,1,0,[],0,1.0,T,0.0032434463500976562
x_div_y,binary,nda_full,0,"eml(eml(eml(1,eml(eml(1,eml(1,eml(eml(1,x),1))),1)),eml(eml(1,eml(eml(1,y),1)),1)),1)",1111xE1EEE1EE11yE1EE1EE1E,exp(log(x)-log(y)),constructive,8,25,True,1.8243817408159936e-32,5.083213294074542e-32,9.903919198521637e-32,True,1,0,[],0,1.0,T,0.002938508987426758
one_const,unary,nda_full,1,1,1,terminal 1,constructive,0,1,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.0005342960357666016
identity_x,unary,nda_full,1,x,x,terminal x,constructive,0,1,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.0004341602325439453
e_const,unary,nda_full,1,"eml(1,1)",11E,exp(1),constructive,1,3,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.0006432533264160156
zero_const,unary,nda_full,1,"eml(1,eml(eml(1,1),1))",111E1EE,log(1),constructive,3,7,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.0009183883666992188
exp_x,unary,nda_full,1,"eml(x,1)",x1E,"eml(x,1)",constructive,1,3,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.0007355213165283203
ln_x,unary,nda_full,1,"eml(1,eml(eml(1,x),1))",11xE1EE,eml logarithm identity,constructive,3,7,True,5.4247026766907145e-33,1.405176543018156e-32,1.782228068131348e-32,True,1,0,[],0,1.0,T,0.0010373592376708984
neg_x,unary,nda_full,1,"eml(eml(1,eml(eml(1,eml(1,eml(eml(1,1),1))),1)),eml(x,1))",11111E1EEE1EEx1EE,0 - x,constructive,7,17,True,5.135813185032629e-34,1.2197556314452493e-33,7.485297253908151e-33,True,1,0,[],0,1.0,T,0.0015163421630859375
x_square,unary,nda_full,1,"eml(eml(eml(1,eml(eml(1,eml(1,eml(eml(1,x),1))),1)),eml(eml(eml(1,eml(eml(1,eml(1,eml(eml(1,1),1))),1)),eml(eml(1,eml(eml(1,x),1)),1)),1)),1)",1111xE1EEE1EE11111E1EEE1EE11xE1EE1EE1EE1E,x*x,constructive,10,41,True,1.4664314861325368e-31,5.539855131484914e-31,2.8888949165808538e-31,True,1,0,[],0,1.0,T,0.0026960372924804688
identity_y,binary,nda_full,1,y,y,terminal y,constructive,0,1,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.0015292167663574219
x_minus_y,binary,nda_full,1,"eml(eml(1,eml(eml(1,x),1)),eml(y,1))",11xE1EEy1EE,"eml(log(x), exp(y))",constructive,4,11,True,2.311115933264683e-32,3.983465101640933e-32,3.1940344421447065e-32,True,1,0,[],0,1.0,T,0.001970529556274414
x_plus_y,binary,nda_full,1,"eml(eml(1,eml(eml(1,x),1)),eml(eml(eml(1,eml(eml(1,eml(1,eml(eml(1,1),1))),1)),eml(y,1)),1))",11xE1EE11111E1EEE1EEy1EE1EE,x - (0 - y),constructive,9,27,True,7.395570986446986e-32,5.379764311321678e-32,6.051432379426727e-32,True,1,0,[],0,1.0,T,0.002821207046508789
x_times_y,binary,nda_full,1,"eml(eml(eml(1,eml(eml(1,eml(1,eml(eml(1,x),1))),1)),eml(eml(eml(1,eml(eml(1,eml(1,eml(eml(1,1),1))),1)),eml(eml(1,eml(eml(1,y),1)),1)),1)),1)",1111xE1EEE1EE11111E1EEE1EE11yE1EE1EE1EE1E,exp(log(x)+log(y)),constructive,10,41,True,2.0851722659355762e-31,3.5417014391991982e-31,7.854709675923365e-32,True,1,0,[],0,1.0,T,0.003662586212158203
x_div_y,binary,nda_full,1,"eml(eml(eml(1,eml(eml(1,eml(1,eml(eml(1,x),1))),1)),eml(eml(1,eml(eml(1,y),1)),1)),1)",1111xE1EEE1EE11yE1EE1EE1E,exp(log(x)-log(y)),constructive,8,25,True,1.8243817408159936e-32,4.4510749680029666e-32,1.305074578753732e-31,True,1,0,[],0,1.0,T,0.0033566951751708984
one_const,unary,nda_full,2,1,1,terminal 1,constructive,0,1,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.00042891502380371094
identity_x,unary,nda_full,2,x,x,terminal x,constructive,0,1,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.0004811286926269531
e_const,unary,nda_full,2,"eml(1,1)",11E,exp(1),constructive,1,3,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.0006606578826904297
zero_const,unary,nda_full,2,"eml(1,eml(eml(1,1),1))",111E1EE,log(1),constructive,3,7,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.0009951591491699219
exp_x,unary,nda_full,2,"eml(x,1)",x1E,"eml(x,1)",constructive,1,3,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.0008745193481445312
ln_x,unary,nda_full,2,"eml(1,eml(eml(1,x),1))",11xE1EE,eml logarithm identity,constructive,3,7,True,5.4247026766907145e-33,1.8153943412438446e-32,2.1135827279009035e-32,True,1,0,[],0,1.0,T,0.000980377197265625
neg_x,unary,nda_full,2,"eml(eml(1,eml(eml(1,eml(1,eml(eml(1,1),1))),1)),eml(x,1))",11111E1EEE1EEx1EE,0 - x,constructive,7,17,True,5.135813185032629e-34,7.0617431294198645e-34,9.331042810311297e-33,True,1,0,[],0,1.0,T,0.0012466907501220703
x_square,unary,nda_full,2,"eml(eml(eml(1,eml(eml(1,eml(1,eml(eml(1,x),1))),1)),eml(eml(eml(1,eml(eml(1,eml(1,eml(eml(1,1),1))),1)),eml(eml(1,eml(eml(1,x),1)),1)),1)),1)",1111xE1EEE1EE11111E1EEE1EE11xE1EE1EE1EE1E,x*x,constructive,10,41,True,1.4664314861325368e-31,5.417048024449302e-31,5.884453877090162e-31,True,1,0,[],0,1.0,T,0.0024509429931640625
identity_y,binary,nda_full,2,y,y,terminal y,constructive,0,1,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.001636505126953125
x_minus_y,binary,nda_full,2,"eml(eml(1,eml(eml(1,x),1)),eml(y,1))",11xE1EEy1EE,"eml(log(x), exp(y))",constructive,4,11,True,2.311115933264683e-32,3.983465101640933e-32,5.854024560127035e-32,True,1,0,[],0,1.0,T,0.001964092254638672
x_plus_y,binary,nda_full,2,"eml(eml(1,eml(eml(1,x),1)),eml(eml(eml(1,eml(eml(1,eml(1,eml(eml(1,1),1))),1)),eml(y,1)),1))",11xE1EE11111E1EEE1EEy1EE1EE,x - (0 - y),constructive,9,27,True,7.395570986446986e-32,9.282982331946477e-32,9.334039537242993e-32,True,1,0,[],0,1.0,T,0.002959012985229492
x_times_y,binary,nda_full,2,"eml(eml(eml(1,eml(eml(1,eml(1,eml(eml(1,x),1))),1)),eml(eml(eml(1,eml(eml(1,eml(1,eml(eml(1,1),1))),1)),eml(eml(1,eml(eml(1,y),1)),1)),1)),1)",1111xE1EEE1EE11111E1EEE1EE11yE1EE1EE1EE1E,exp(log(x)+log(y)),constructive,10,41,True,2.0851722659355762e-31,3.733702225933579e-31,1.2725413228183593e-31,True,1,0,[],0,1.0,T,0.0040204524993896484
x_div_y,binary,nda_full,2,"eml(eml(eml(1,eml(eml(1,eml(1,eml(eml(1,x),1))),1)),eml(eml(1,eml(eml(1,y),1)),1)),1)",1111xE1EEE1EE11yE1EE1EE1E,exp(log(x)-log(y)),constructive,8,25,True,1.8243817408159936e-32,4.668780208649211e-32,1.3434967871047093e-31,True,1,0,[],0,1.0,T,0.003332376480102539
one_const,unary,no_freeze,0,1,1,terminal 1,constructive,0,1,True,0.0,0.0,0.0,True,1,0,[],0,1.0,T,0.00037407875061035156
